BIOS reset vector jumps to F000:E05B
BIOS loaded from ami_8088_bios_31jan89.bin (8192 bytes)
Reset vector bytes: EA 5B E0 00 F0
IF=0 Shadow=0
index: 0 OUT port 0x00A0, size 1, value 0x00  # forced_out [     0.000 ms]
index: 1 OUT port 0x0083, size 1, value 0x00  # forced_out [     0.029 ms]
index: 2 OUT port 0x03D8, size 1, value 0x00  # forced_out [     0.039 ms]
index: 3 OUT port 0x03B8, size 1, value 0x01  # forced_out [     0.049 ms]
index: 4 OUT port 0x0043, size 1, value 0x00  # forced_out [     0.069 ms]
index: 5 IN  port 0x0040, size 1, value 0x00  # forced_in [     0.079 ms]
index: 6 OUT port 0x0063, size 1, value 0x99  # forced_out [     0.089 ms]
index: 7 OUT port 0x0061, size 1, value 0xAC  # forced_out [     0.098 ms]
index: 8 OUT port 0x0008, size 1, value 0x04  # forced_out [     0.114 ms]
index: 9 OUT port 0x0043, size 1, value 0x74  # forced_out [     0.124 ms]
index: 10 OUT port 0x0041, size 1, value 0x74  # forced_out [     0.141 ms]
index: 11 OUT port 0x0041, size 1, value 0x74  # forced_out [     0.154 ms]
index: 12 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.164 ms]
index: 13 IN  port 0x0041, size 1, value 0x69  # forced_in [     0.173 ms]
index: 14 IN  port 0x0041, size 1, value 0x74  # forced_in [     0.183 ms]
index: 15 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.192 ms]
index: 16 IN  port 0x0041, size 1, value 0x4E  # forced_in [     0.202 ms]
index: 17 IN  port 0x0041, size 1, value 0x74  # forced_in [     0.211 ms]
index: 18 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.220 ms]
index: 19 IN  port 0x0041, size 1, value 0x33  # forced_in [     0.230 ms]
index: 20 IN  port 0x0041, size 1, value 0x74  # forced_in [     0.239 ms]
index: 21 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.248 ms]
index: 22 IN  port 0x0041, size 1, value 0x18  # forced_in [     0.258 ms]
index: 23 IN  port 0x0041, size 1, value 0x74  # forced_in [     0.267 ms]
index: 24 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.276 ms]
index: 25 IN  port 0x0041, size 1, value 0xFD  # forced_in [     0.286 ms]
index: 26 IN  port 0x0041, size 1, value 0x73  # forced_in [     0.295 ms]
index: 27 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.304 ms]
index: 28 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.314 ms]
index: 29 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.323 ms]
index: 30 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.333 ms]
index: 31 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.342 ms]
index: 32 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.352 ms]
index: 33 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.361 ms]
index: 34 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.371 ms]
index: 35 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.380 ms]
index: 36 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.390 ms]
index: 37 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.399 ms]
index: 38 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.409 ms]
index: 39 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.418 ms]
index: 40 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.427 ms]
index: 41 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.437 ms]
index: 42 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.447 ms]
index: 43 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.456 ms]
index: 44 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.466 ms]
index: 45 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.475 ms]
index: 46 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.484 ms]
index: 47 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.494 ms]
index: 48 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.504 ms]
index: 49 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.513 ms]
index: 50 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.522 ms]
index: 51 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.699 ms]
index: 52 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.710 ms]
index: 53 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.720 ms]
index: 54 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.729 ms]
index: 55 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.739 ms]
index: 56 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.749 ms]
index: 57 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.758 ms]
index: 58 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.768 ms]
index: 59 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.777 ms]
index: 60 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.787 ms]
index: 61 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.796 ms]
index: 62 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.806 ms]
index: 63 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.815 ms]
index: 64 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.825 ms]
index: 65 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.834 ms]
index: 66 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.844 ms]
index: 67 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.853 ms]
index: 68 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.863 ms]
index: 69 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.872 ms]
index: 70 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.881 ms]
index: 71 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.891 ms]
index: 72 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.901 ms]
index: 73 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.910 ms]
index: 74 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.920 ms]
index: 75 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.929 ms]
index: 76 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.939 ms]
index: 77 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.948 ms]
index: 78 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.958 ms]
index: 79 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.967 ms]
index: 80 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.977 ms]
index: 81 OUT port 0x0043, size 1, value 0x40  # forced_out [     0.986 ms]
index: 82 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     0.996 ms]
index: 83 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.005 ms]
index: 84 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.015 ms]
index: 85 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.037 ms]
index: 86 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.046 ms]
index: 87 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.055 ms]
index: 88 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.065 ms]
index: 89 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.074 ms]
index: 90 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.083 ms]
index: 91 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.093 ms]
index: 92 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.102 ms]
index: 93 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.112 ms]
index: 94 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.121 ms]
index: 95 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.130 ms]
index: 96 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.148 ms]
index: 97 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.157 ms]
index: 98 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.166 ms]
index: 99 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.176 ms]
index: 100 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.185 ms]
index: 101 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.194 ms]
index: 102 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.224 ms]
index: 103 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.233 ms]
index: 104 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.242 ms]
index: 105 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.252 ms]
index: 106 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.261 ms]
index: 107 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.270 ms]
index: 108 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.279 ms]
index: 109 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.288 ms]
index: 110 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.298 ms]
index: 111 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.307 ms]
index: 112 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.316 ms]
index: 113 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.326 ms]
index: 114 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.335 ms]
index: 115 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.344 ms]
index: 116 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.353 ms]
index: 117 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.363 ms]
index: 118 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.372 ms]
index: 119 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.381 ms]
index: 120 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.391 ms]
index: 121 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.400 ms]
index: 122 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.409 ms]
index: 123 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.419 ms]
index: 124 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.428 ms]
index: 125 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.437 ms]
index: 126 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.446 ms]
index: 127 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.455 ms]
index: 128 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.464 ms]
index: 129 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.474 ms]
index: 130 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.483 ms]
index: 131 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     1.577 ms]
index: 132 OUT port 0x0043, size 1, value 0x40  # forced_out [     1.587 ms]
